Toll Name,Fee Effective Date,Ca/Jeep/Van,LCV,Bus Truck,Up To 3 Axle,Four To Six,HCM,Seven Or More,Revision Date
Patgaon,01-Apr-21,85.00;130.00;2890.00;45.00,140.00;210.00;4665.00;70.00,295.00 ;440.00;9775.00;145.00,320.00 ;480.00;10665.00;160.00,460.00 ;690.00;15330.00;230.00,460.00 ;690.00;15330.00;230.00,560.00 ;840.00;18660.00;280.00,
Gangadhar Bridge (MoRTH),17-Oct-2013          ,7.00;10.50;NA;NA,9.00;13.50;NA;NA,19.00 ;28.50;NA;NA,24.00 ;36.00;NA;NA,24.00 ;36.00;NA;NA,27.00 ;40.00;NA;NA,34.00 ;40.00;NA;NA,01-Apr-14
Dahalapara,01-Apr-21,75.00;115.00;2545.00;40.00,125.00;185.00;4110.00;60.00,260.00 ;385.00;8610.00;130.00,280.00 ;425.00;9390.00;140.00,405.00 ;610.00;13500.00;205.00,405.00 ;610.00;13500.00;205.00,495.00 ;740.00;16435.00;245.00,
Daboka,01-Apr-2017          ,80.00;120.00;2660.00;40.00,130.00;195.00;4300.00;65.00,270.00 ;405.00;9010.00;135.00,295.00 ;440.00;9830.00;145.00,425.00 ;635.00;14130.00;210.00,425.00 ;635.00;14130.00;210.00,515.00 ;775.00;17200.00;260.00,31-Mar-18
Barsoni,01-Apr-21,60.00;90.00;1980.00;30.00,95.00;145.00;3195.00;50.00,200.00 ;300.00;6700.00;100.00,220.00 ;330.00;7305.00;110.00,315.00 ;475.00;10505.00;160.00,315.00 ;475.00;10505.00;160.00,385.00 ;575.00;12785.00;190.00,
Venkatachalam (Old Nellore),01-Jul-20,30.00;5.00;NA;15.00,50.00;NA;NA;25.00,100.00 ;NA;NA;50.00,220.00 ;NA;NA;110.00,220.00 ;NA;NA;110.00,220.00 ;NA;NA;110.00,220.00 ;NA;NA;110.00,
Vempadu,01-Apr-21,115.00;175.00;3885.00;60.00,190.00;280.00;6275.00;95.00,395.00 ;590.00;13150.00;195.00,430.00 ;645.00;14345.00;215.00,620.00 ;930.00;20625.00;310.00,620.00 ;930.00;20625.00;310.00,755.00 ;1130.00;25105.00;375.00,
Nazira Khat,01-Apr-21,115.00;175.00;3865.00;60.00,185.00;280.00;6245.00;95.00,395.00 ;590.00;13085.00;195.00,430.00 ;640.00;14275.00;215.00,615.00 ;925.00;20520.00;310.00,615.00 ;925.00;20520.00;310.00,750.00 ;1125.00;24980.00;375.00,
Tanguturu,01-Apr-21,85.00;130.00;2840.00;NA,140.00;205.00;4590.00;NA,290.00 ;435.00;9620.00;NA,455.00 ;680.00;15085.00;NA,455.00 ;680.00;15085.00;NA,455.00 ;680.00;15085.00;NA,550.00 ;825.00;18365.00;NA,
Sunambatti (Musunuru),01-Apr-21,55.00;80.00;1805.00;NA,85.00;130.00;2915.00;NA,185.00 ;275.00;6105.00;NA,285.00 ;430.00;9575.00;NA,285.00 ;430.00;9575.00;NA,285.00 ;430.00;9575.00;NA,350.00 ;525.00;11655.00;NA,
Sullurpet,01-Jul-20,60.00;15.00;NA;30.00,100.00;NA;NA;50.00,205.00 ;NA;NA;100.00,440.00 ;NA;NA;220.00,440.00 ;NA;NA;220.00,440.00 ;NA;NA;220.00,440.00 ;NA;NA;220.00,
Unguturu,01-Apr-21,95.00;140.00;3150.00;45.00,155.00;230.00;5090.00;75.00,320.00 ;480.00;10665.00;160.00,350.00 ;525.00;11635.00;175.00,500.00 ;755.00;16725.00;250.00,500.00 ;755.00;16725.00;250.00,610.00 ;915.00;20365.00;305.00,
Deederganj,01-Apr-2020          ,110.00;165.00;3635.00;NA,165.00;250.00;5550.00;NA,335.00 ;500.00;11125.00;NA,505.00 ;755.00;16815.00;NA,505.00 ;755.00;16815.00;NA,505.00 ;755.00;16815.00;NA,660.00 ;995.00;22070.00;NA,31-Mar-21
Keesara,01-Jul-20,55.00;15.00;NA;30.00,95.00;NA;NA;50.00,195.00 ;NA;NA;95.00,415.00 ;NA;NA;205.00,415.00 ;NA;NA;205.00,415.00 ;NA;NA;205.00,415.00 ;NA;NA;205.00,
Kasepalli,01-Apr-21,105.00;160.00;3540.00;55.00,170.00;255.00;5715.00;85.00,360.00 ;540.00;11975.00;180.00,390.00 ;590.00;13065.00;195.00,565.00 ;845.00;18780.00;280.00,565.00 ;845.00;18780.00;280.00,685.00 ;1030.00;22860.00;345.00,
Jellipalli,01-Apr-21,60.00;90.00;2000.00;30.00,95.00;145.00;3235.00;50.00,205.00 ;305.00;6775.00;100.00,220.00 ;330.00;7390.00;110.00,320.00 ;480.00;10620.00;160.00,320.00 ;480.00;10620.00;160.00,390.00 ;580.00;12930.00;195.00,
Yerradoddi,01-Apr-21,55.00;85.00;1840.00;30.00,90.00;135.00;2975.00;45.00,185.00 ;280.00;6230.00;95.00,205.00 ;305.00;6795.00;100.00,295.00 ;440.00;9770.00;145.00,295.00 ;440.00;9770.00;145.00,355.00 ;535.00;11895.00;180.00,
Kaza,01-Sep-20,95.00;140.00;2820.00;NA,165.00;245.00;4935.00;NA,330.00 ;495.00;9870.00;NA,530.00 ;795.00;15865.00;NA,530.00 ;795.00;15865.00;NA,530.00 ;795.00;15865.00;NA,530.00 ;795.00;15865.00;NA,
Halaharvi,01-Apr-21,40.00;60.00;1365.00;20.00,65.00;100.00;2200.00;35.00,140.00 ;210.00;4615.00;70.00,150.00 ;225.00;5030.00;75.00,215.00 ;325.00;7235.00;110.00,215.00 ;325.00;7235.00;110.00,265.00 ;395.00;8805.00;130.00,
Mikirati Hawgaon,01-Apr-21,80.00;120.00;2710.00;40.00,130.00;195.00;4380.00;65.00,275.00 ;415.00;9175.00;140.00,300.00 ;450.00;10010.00;150.00,430.00 ;650.00;14390.00;215.00,430.00 ;650.00;14390.00;215.00,525.00 ;790.00;17520.00;265.00,
Eethakota,01-Apr-21,100.00;150.00;3375.00;50.00,165.00;245.00;5450.00;80.00,340.00 ;515.00;11415.00;170.00,375.00 ;560.00;12455.00;185.00,535.00 ;805.00;17900.00;270.00,535.00 ;805.00;17900.00;270.00,655.00 ;980.00;21790.00;325.00,
Durgamvaripalli,01-Apr-21,40.00;60.00;1305.00;20.00,65.00;95.00;2110.00;30.00,135.00 ;200.00;4420.00;65.00,145.00 ;215.00;4820.00;70.00,210.00 ;310.00;6930.00;105.00,210.00 ;310.00;6930.00;105.00,255.00 ;380.00;8440.00;125.00,
DC PALLI,01-Apr-21,40.00;65.00;1390.00;20.00,65.00;100.00;2250.00;35.00,140.00 ;210.00;4710.00;70.00,155.00 ;230.00;5140.00;75.00,220.00 ;330.00;7385.00;110.00,220.00 ;330.00;7385.00;110.00,270.00 ;405.00;8995.00;135.00,
Gollaprolu,01-Apr-21,45.00;65.00;1420.00;20.00,70.00;105.00;2290.00;35.00,145.00 ;215.00;4800.00;70.00,155.00 ;235.00;5235.00;80.00,225.00 ;340.00;7525.00;115.00,225.00 ;340.00;7525.00;115.00,275.00 ;410.00;9160.00;135.00,
Kalaparru,10-Feb-2020          ,35.00;50.00;1130.00;15.00,55.00;80.00;1820.00;25.00,115.00 ;170.00;3815.00;55.00,125.00 ;185.00;4165.00;60.00,180.00 ;270.00;5985.00;90.00,180.00 ;270.00;5985.00;90.00,220.00 ;330.00;7285.00;110.00,31-Mar-20
Chilakapalem,01-Apr-21,50.00;75.00;1680.00;25.00,80.00;120.00;2715.00;40.00,170.00 ;255.00;5685.00;85.00,185.00 ;280.00;6205.00;95.00,270.00 ;400.00;8915.00;135.00,270.00 ;400.00;8915.00;135.00,325.00 ;490.00;10855.00;165.00,
Chagalmarri,01-Apr-21,75.00;110.00;2475.00;NA,120.00;180.00;4000.00;NA,250.00 ;375.00;8380.00;NA,395.00 ;590.00;13140.00;NA,395.00 ;590.00;13140.00;NA,395.00 ;590.00;13140.00;NA,480.00 ;720.00;16000.00;NA,
Budhanam,01-Jul-20,40.00;10.00;NA;20.00,70.00;NA;NA;35.00,140.00 ;NA;NA;70.00,300.00 ;NA;NA;150.00,300.00 ;NA;NA;150.00,300.00 ;NA;NA;150.00,300.00 ;NA;NA;150.00,
Davuluru,01-Apr-21,100.00;150.00;3365.00;50.00,165.00;245.00;5440.00;80.00,340.00 ;515.00;11395.00;170.00,375.00 ;560.00;12430.00;185.00,535.00 ;805.00;17870.00;270.00,535.00 ;805.00;17870.00;270.00,655.00 ;980.00;21755.00;325.00,
Chintalapalem,01-Apr-21,30.00;45.00;1040.00;15.00,50.00;75.00;1675.00;25.00,105.00 ;160.00;3515.00;55.00,115.00 ;170.00;3880.00;55.00,165.00 ;250.00;5510.00;85.00,165.00 ;250.00;5510.00;85.00,200.00 ;300.00;6705.00;100.00,
Bolapalli,01-Apr-21,150.00;225.00;4970.00;NA,235.00;350.00;7775.00;NA,475.00 ;715.00;15875.00;NA,730.00 ;1100.00;24390.00;NA,730.00 ;1100.00;24390.00;NA,730.00 ;1100.00;24390.00;NA,930.00 ;1395.00;30980.00;NA,
Buchireddypalem,01-Apr-21,35.00;50.00;1130.00;15.00,55.00;80.00;1820.00;25.00,115.00 ;170.00;3815.00;55.00,125.00 ;185.00;4165.00;60.00,180.00 ;270.00;5985.00;90.00,180.00 ;270.00;5985.00;90.00,220.00 ;330.00;7285.00;110.00,
Bellupada,01-Apr-2020          ,95.00;140.00;3095.00;45.00,150.00;225.00;5000.00;75.00,315.00 ;470.00;10475.00;155.00,345.00 ;515.00;11425.00;170.00,495.00 ;740.00;16425.00;245.00,495.00 ;740.00;16425.00;245.00,600.00 ;900.00;19995.00;300.00,31-Mar-21
Basapuram,01-Apr-21,40.00;60.00;1285.00;20.00,60.00;95.00;2075.00;30.00,130.00 ;195.00;4350.00;65.00,140.00 ;215.00;4745.00;70.00,205.00 ;305.00;6820.00;100.00,205.00 ;305.00;6820.00;100.00,250.00 ;375.00;8305.00;125.00,
Bandapalli,01-Apr-21,45.00;70.00;1555.00;25.00,75.00;115.00;2510.00;40.00,160.00 ;235.00;5255.00;80.00,170.00 ;260.00;5735.00;85.00,245.00 ;370.00;8240.00;125.00,245.00 ;370.00;8240.00;125.00,300.00 ;450.00;10035.00;150.00,
Amakathadu,01-Apr-21,115.00;170.00;3785.00;55.00,185.00;275.00;6110.00;90.00,385.00 ;575.00;12805.00;190.00,420.00 ;630.00;13970.00;210.00,600.00 ;905.00;20080.00;300.00,600.00 ;905.00;20080.00;300.00,735.00 ;1100.00;24445.00;365.00,
Brahmanapalli,01-Apr-21,50.00;75.00;1695.00;25.00,80.00;125.00;2735.00;40.00,170.00 ;260.00;5735.00;85.00,190.00 ;280.00;6255.00;95.00,270.00 ;405.00;8990.00;135.00,270.00 ;405.00;8990.00;135.00,330.00 ;495.00;10945.00;165.00,
Badava,01-Apr-21,60.00;90.00;2030.00;30.00,100.00;150.00;3280.00;50.00,205.00 ;310.00;6575.00;105.00,225.00 ;335.00;7500.00;110.00,325.00 ;485.00;10780.00;160.00,325.00 ;485.00;10780.00;160.00,395.00 ;590.00;13125.00;195.00,
Chitimiti Chintala,01-Apr-21,25.00;40.00;875.00;15.00,40.00;65.00;1410.00;20.00,90.00 ;135.00;2960.00;45.00,95.00 ;145.00;3225.00;50.00,140.00 ;210.00;4640.00;70.00,140.00 ;210.00;4640.00;70.00,170.00 ;255.00;5645.00;85.00,
